2026-05-11 23:37:17 | DEBUG    | ingestion.api_client | GET https://api.adzuna.com/v1/api/jobs/us/search/4 (role='machine learning engineer', page=4)
2026-05-11 23:37:20 | INFO     | ingestion.api_client |   [machine learning engineer] page 4: 50 jobs fetched
2026-05-11 23:37:20 | DEBUG    | ingestion.api_client | GET https://api.adzuna.com/v1/api/jobs/us/search/5 (role='machine learning engineer', page=5)
2026-05-11 23:37:22 | INFO     | ingestion.api_client |   [machine learning engineer] page 5: 50 jobs fetched
2026-05-11 23:37:24 | INFO     | ingestion.api_client | Fetching role: analytics engineer
2026-05-11 23:37:24 | DEBUG    | ingestion.api_client | GET https://api.adzuna.com/v1/api/jobs/us/search/1 (role='analytics engineer', page=1)
2026-05-11 23:37:26 | INFO     | ingestion.api_client |   [analytics engineer] page 1: 50 jobs fetched
2026-05-11 23:37:27 | DEBUG    | ingestion.api_client | GET https://api.adzuna.com/v1/api/jobs/us/search/2 (role='analytics engineer', page=2)
2026-05-11 23:37:29 | INFO     | ingestion.api_client |   [analytics engineer] page 2: 50 jobs fetched
2026-05-11 23:37:29 | DEBUG    | ingestion.api_client | GET https://api.adzuna.com/v1/api/jobs/us/search/3 (role='analytics engineer', page=3)
2026-05-11 23:37:31 | INFO     | ingestion.api_client |   [analytics engineer] page 3: 50 jobs fetched
2026-05-11 23:37:32 | DEBUG    | ingestion.api_client | GET https://api.adzuna.com/v1/api/jobs/us/search/4 (role='analytics engineer', page=4)
2026-05-11 23:37:34 | INFO     | ingestion.api_client |   [analytics engineer] page 4: 50 jobs fetched
2026-05-11 23:37:34 | DEBUG    | ingestion.api_client | GET https://api.adzuna.com/v1/api/jobs/us/search/5 (role='analytics engineer', page=5)
2026-05-11 23:37:37 | INFO     | ingestion.api_client |   [analytics engineer] page 5: 50 jobs fetched
2026-05-11 23:37:38 | INFO     | ingestion.api_client | Total jobs fetched across all roles: 1500
2026-05-11 23:37:38 | INFO     | __main__ | Total records fetched from API: 1500
2026-05-11 23:37:38 | INFO     | __main__ | Loading into database...
2026-05-11 23:37:40 | INFO     | __main__ | Pipeline complete — inserted: 16 | skipped: 1484 | errors: 0
2026-06-23 20:41:11 | INFO     | __main__ | Starting ingestion pipeline
2026-06-23 20:41:11 | INFO     | __main__ | Initializing database...
2026-06-23 20:41:11 | DEBUG    | db.connection | Running init_db against localhost:5432/jobmarket
2026-06-23 20:44:06 | INFO     | __main__ | Starting ingestion pipeline
2026-06-23 20:44:06 | INFO     | __main__ | Initializing database...
2026-06-23 20:44:06 | DEBUG    | db.connection | Running init_db against localhost:5432/jobmarket
2026-06-23 20:45:28 | INFO     | __main__ | Starting ingestion pipeline
2026-06-23 20:45:28 | INFO     | __main__ | Initializing database...
2026-06-23 20:45:28 | DEBUG    | db.connection | Running init_db against localhost:5433/jobmarket
2026-06-23 20:45:29 | INFO     | db.connection | Database tables verified / created.
2026-06-23 20:45:29 | INFO     | __main__ | Fetching jobs from Adzuna API...
2026-06-23 20:45:29 | INFO     | ingestion.api_client | Fetching role: data analyst
2026-06-23 20:52:58 | INFO     | __main__ | Starting ingestion pipeline
2026-06-23 20:52:58 | INFO     | __main__ | Initializing database...
2026-06-23 20:52:58 | DEBUG    | db.connection | Running init_db against localhost:5433/jobmarket
2026-06-23 20:52:58 | INFO     | db.connection | Database tables verified / created.
2026-06-23 20:52:58 | INFO     | __main__ | Fetching jobs from Adzuna API...
2026-06-23 20:52:58 | INFO     | ingestion.api_client | Fetching role: data analyst
2026-06-23 20:53:13 | INFO     | __main__ | Starting ingestion pipeline
2026-06-23 20:53:13 | INFO     | __main__ | Initializing database...
2026-06-23 20:53:13 | DEBUG    | db.connection | Running init_db against localhost:5433/jobmarket
2026-06-23 20:53:13 | INFO     | db.connection | Database tables verified / created.
2026-06-23 20:53:13 | INFO     | __main__ | Fetching jobs from Adzuna API...
2026-06-23 20:53:13 | INFO     | ingestion.api_client | Fetching role: data analyst
2026-06-23 20:54:27 | INFO     | __main__ | Starting ingestion pipeline
2026-06-23 20:54:27 | INFO     | __main__ | Initializing database...
2026-06-23 20:54:27 | DEBUG    | db.connection | Running init_db against localhost:5433/jobmarket
2026-06-23 20:54:28 | INFO     | db.connection | Database tables verified / created.
2026-06-23 20:54:28 | INFO     | __main__ | Fetching jobs from Adzuna API...
2026-06-23 20:54:28 | INFO     | ingestion.api_client | Fetching role: data analyst
2026-06-23 20:54:54 | INFO     | __main__ | Starting ingestion pipeline
2026-06-23 20:54:54 | INFO     | __main__ | Initializing database...
2026-06-23 20:54:54 | DEBUG    | db.connection | Running init_db against localhost:5433/jobmarket
2026-06-23 20:57:01 | INFO     | __main__ | Starting ingestion pipeline
2026-06-23 20:57:01 | INFO     | __main__ | Initializing database...
2026-06-23 20:57:01 | DEBUG    | db.connection | Running init_db against localhost:5433/jobmarket
2026-06-23 20:58:36 | INFO     | __main__ | Starting ingestion pipeline
2026-06-23 20:58:36 | INFO     | __main__ | Initializing database...
2026-06-23 20:58:36 | DEBUG    | db.connection | Running init_db against localhost:5433/jobmarket
2026-06-23 20:58:37 | INFO     | db.connection | Database tables verified / created.
2026-06-23 20:58:37 | INFO     | __main__ | Fetching jobs from Adzuna API...
2026-06-23 20:58:37 | INFO     | ingestion.api_client | Fetching role: data analyst
2026-06-23 20:58:37 | DEBUG    | ingestion.api_client | GET https://api.adzuna.com/v1/api/jobs/us/search/1 (role='data analyst', page=1)
2026-06-23 20:58:40 | INFO     | ingestion.api_client |   [data analyst] page 1: 50 jobs fetched
